Inst,Seed,Alpha,InitialNodes,Feasible,Of
instances\TV\eil22_50.csv,1,0.5,DemandPriority,True,683.03
instances\TV\eil22_50.csv,2,0.5,NoInitialNodes,True,744.84
instances\TV\eil22_50.csv,2,0.5,DistancePriority,True,727.74
instances\TV\eil22_50.csv,2,0.5,DemandPriority,True,780.7
instances\TV\eil22_50.csv,3,0.5,NoInitialNodes,True,731.79
instances\TV\eil22_50.csv,3,0.5,DistancePriority,True,687.42
instances\TV\eil22_50.csv,3,0.5,DemandPriority,True,626.46
instances\TV\eil22_50.csv,4,0.5,NoInitialNodes,True,708.21
instances\TV\eil22_50.csv,4,0.5,DistancePriority,True,730.28
instances\TV\eil22_50.csv,4,0.5,DemandPriority,True,765.88
instances\TV\eil22_50.csv,5,0.5,NoInitialNodes,True,691.7
instances\TV\eil22_50.csv,5,0.5,DistancePriority,True,701.18
instances\TV\eil22_50.csv,5,0.5,DemandPriority,True,701.81
instances\TV\eil22_50.csv,6,0.5,NoInitialNodes,True,729.92
instances\TV\eil22_50.csv,6,0.5,DistancePriority,True,769.75
instances\TV\eil22_50.csv,6,0.5,DemandPriority,True,546.2
instances\TV\eil22_50.csv,7,0.5,NoInitialNodes,True,745.0
instances\TV\eil22_50.csv,7,0.5,DistancePriority,True,748.99
instances\TV\eil22_50.csv,7,0.5,DemandPriority,True,797.55
instances\TV\eil22_50.csv,8,0.5,NoInitialNodes,True,592.7
instances\TV\eil22_50.csv,8,0.5,DistancePriority,True,596.27
instances\TV\eil22_50.csv,8,0.5,DemandPriority,True,669.49
instances\TV\eil22_50.csv,9,0.5,NoInitialNodes,True,747.34
instances\TV\eil22_50.csv,9,0.5,DistancePriority,True,685.15
instances\TV\eil22_50.csv,9,0.5,DemandPriority,True,705.91
instances\TV\eil22_50.csv,10,0.5,NoInitialNodes,True,711.28
instances\TV\eil22_50.csv,10,0.5,DistancePriority,True,756.76
instances\TV\eil22_50.csv,10,0.5,DemandPriority,True,584.97
instances\TV\eil22_50.csv,11,0.5,NoInitialNodes,True,675.71
instances\TV\eil22_50.csv,11,0.5,DistancePriority,True,637.02
instances\TV\eil22_50.csv,11,0.5,DemandPriority,True,634.89
instances\TV\eil22_50.csv,12,0.5,NoInitialNodes,True,641.5
instances\TV\eil22_50.csv,12,0.5,DistancePriority,True,627.17
instances\TV\eil22_50.csv,12,0.5,DemandPriority,True,696.87
instances\TV\eil22_50.csv,13,0.5,NoInitialNodes,True,732.61
instances\TV\eil22_50.csv,13,0.5,DistancePriority,True,738.01
instances\TV\eil22_50.csv,13,0.5,DemandPriority,True,778.89
instances\TV\eil22_50.csv,14,0.5,NoInitialNodes,True,632.79
instances\TV\eil22_50.csv,14,0.5,DistancePriority,True,613.69
instances\TV\eil22_50.csv,14,0.5,DemandPriority,True,676.16
instances\TV\eil22_50.csv,15,0.5,NoInitialNodes,True,687.47
instances\TV\eil22_50.csv,15,0.5,DistancePriority,True,660.57
instances\TV\eil22_50.csv,15,0.5,DemandPriority,True,585.65
instances\TV\eil22_50.csv,16,0.5,NoInitialNodes,True,626.78
instances\TV\eil22_50.csv,16,0.5,DistancePriority,True,796.03
instances\TV\eil22_50.csv,16,0.5,DemandPriority,True,722.69
instances\TV\eil22_50.csv,17,0.5,NoInitialNodes,True,704.6
instances\TV\eil22_50.csv,17,0.5,DistancePriority,True,575.68
instances\TV\eil22_50.csv,17,0.5,DemandPriority,True,603.39
instances\TV\eil22_50.csv,18,0.5,NoInitialNodes,True,667.2
instances\TV\eil22_50.csv,18,0.5,DistancePriority,True,827.05
instances\TV\eil22_50.csv,18,0.5,DemandPriority,True,827.05
instances\TV\eil22_50.csv,19,0.5,NoInitialNodes,True,737.33
instances\TV\eil22_50.csv,19,0.5,DistancePriority,True,729.6
instances\TV\eil22_50.csv,19,0.5,DemandPriority,True,656.84
instances\TV\eil22_50.csv,0,0.6,NoInitialNodes,True,667.41
instances\TV\eil22_50.csv,0,0.6,DistancePriority,True,752.5
instances\TV\eil22_50.csv,0,0.6,DemandPriority,True,828.81
instances\TV\eil22_50.csv,1,0.6,NoInitialNodes,True,694.59
instances\TV\eil22_50.csv,1,0.6,DistancePriority,True,795.81
instances\TV\eil22_50.csv,1,0.6,DemandPriority,True,754.25
instances\TV\eil22_50.csv,2,0.6,NoInitialNodes,True,792.89
instances\TV\eil22_50.csv,2,0.6,DistancePriority,True,852.95
instances\TV\eil22_50.csv,2,0.6,DemandPriority,True,692.76
instances\TV\eil22_50.csv,3,0.6,NoInitialNodes,True,682.65
instances\TV\eil22_50.csv,3,0.6,DistancePriority,True,715.3
instances\TV\eil22_50.csv,3,0.6,DemandPriority,True,737.07
instances\TV\eil22_50.csv,4,0.6,NoInitialNodes,True,764.66
instances\TV\eil22_50.csv,4,0.6,DistancePriority,True,782.37
instances\TV\eil22_50.csv,4,0.6,DemandPriority,True,738.74
instances\TV\eil22_50.csv,5,0.6,NoInitialNodes,True,795.01
instances\TV\eil22_50.csv,5,0.6,DistancePriority,True,693.4
instances\TV\eil22_50.csv,5,0.6,DemandPriority,True,697.62
instances\TV\eil22_50.csv,6,0.6,NoInitialNodes,True,809.25
instances\TV\eil22_50.csv,6,0.6,DistancePriority,True,740.63
